"rules","support","confidence","lift"
"1","{Product N} => {Product D}",0.0666666666666667,1,5
"2","{Product N} => {Product G}",0.0666666666666667,1,3
"3","{Product N} => {Product E}",0.0666666666666667,1,2.5
"4","{Product N} => {Product H}",0.0666666666666667,1,2.14285714285714
"5","{Product N} => {Product F}",0.0666666666666667,1,2.14285714285714
"6","{Product D} => {Product G}",0.2,1,3
"7","{Product D} => {Product E}",0.2,1,2.5
"8","{Product D} => {Product H}",0.2,1,2.14285714285714
"9","{Product D} => {Product F}",0.2,1,2.14285714285714
"10","{Product K} => {Product E}",0.2,1,2.5
"11","{Product K} => {Product J}",0.2,1,2.5
"12","{Product K} => {Product H}",0.2,1,2.14285714285714
"13","{Product K} => {Product F}",0.2,1,2.14285714285714
"14","{Product K} => {Product I}",0.2,1,1.36363636363636
"15","{Product B} => {Product A}",0.333333333333333,0.833333333333333,1.78571428571429
"16","{Product B} => {Product C}",0.4,1,2.14285714285714
"17","{Product C} => {Product B}",0.4,0.857142857142857,2.14285714285714
"18","{Product B} => {Product I}",0.333333333333333,0.833333333333333,1.13636363636364
"19","{Product G} => {Product E}",0.266666666666667,0.8,2
"20","{Product G} => {Product H}",0.266666666666667,0.8,1.71428571428571
"21","{Product G} => {Product F}",0.333333333333333,1,2.14285714285714
"22","{Product A} => {Product I}",0.466666666666667,1,1.36363636363636
"23","{Product C} => {Product I}",0.4,0.857142857142857,1.16883116883117
"24","{Product E} => {Product H}",0.4,1,2.14285714285714
"25","{Product H} => {Product E}",0.4,0.857142857142857,2.14285714285714
"26","{Product E} => {Product F}",0.333333333333333,0.833333333333333,1.78571428571429
"27","{Product J} => {Product F}",0.333333333333333,0.833333333333333,1.78571428571429
"28","{Product J} => {Product I}",0.4,1,1.36363636363636
"29","{Product H} => {Product F}",0.4,0.857142857142857,1.83673469387755
"30","{Product F} => {Product H}",0.4,0.857142857142857,1.83673469387755
"31","{Product D,Product N} => {Product G}",0.0666666666666667,1,3
"32","{Product G,Product N} => {Product D}",0.0666666666666667,1,5
"33","{Product D,Product N} => {Product E}",0.0666666666666667,1,2.5
"34","{Product E,Product N} => {Product D}",0.0666666666666667,1,5
"35","{Product D,Product N} => {Product H}",0.0666666666666667,1,2.14285714285714
"36","{Product H,Product N} => {Product D}",0.0666666666666667,1,5
"37","{Product D,Product N} => {Product F}",0.0666666666666667,1,2.14285714285714
"38","{Product F,Product N} => {Product D}",0.0666666666666667,1,5
"39","{Product G,Product N} => {Product E}",0.0666666666666667,1,2.5
"40","{Product E,Product N} => {Product G}",0.0666666666666667,1,3
"41","{Product G,Product N} => {Product H}",0.0666666666666667,1,2.14285714285714
"42","{Product H,Product N} => {Product G}",0.0666666666666667,1,3
"43","{Product G,Product N} => {Product F}",0.0666666666666667,1,2.14285714285714
"44","{Product F,Product N} => {Product G}",0.0666666666666667,1,3
"45","{Product E,Product N} => {Product H}",0.0666666666666667,1,2.14285714285714
"46","{Product H,Product N} => {Product E}",0.0666666666666667,1,2.5
